timestamp,x,y,left_button_holding,right_button_holding
1478943306.935909,1080,-322,False,True
1478943306.940889,1080,-319,False,True
1478943306.940889,1080,-317,False,True
1478943306.956522,1080,-314,False,True
1478943306.956522,1080,-312,False,True
1478943306.972168,1080,-309,False,True
1478943306.972168,1080,-308,False,True
1478943306.987823,1080,-306,False,True
1478943307.003449,1080,-304,False,True
1478943307.003449,1080,-303,False,True
1478943307.019071,1080,-302,False,True
1478943307.019071,1080,-301,False,True
1478943307.040717,1080,-299,False,True
1478943307.040717,1080,-299,False,False
1478943307.040717,1080,-299,False,False
1478943307.040717,1080,-299,False,False
1478943307.040717,1080,-297,False,True
1478943307.056435,1080,-297,False,False
1478943307.056435,1080,-297,False,False
1478943307.056435,1080,-297,False,False
1478943307.056435,1081,-296,False,True
1478943307.103359,1081,-294,False,True
1478943307.118988,1081,-293,False,True
1478943307.140743,1082,-291,False,True
1478943307.140743,1083,-290,False,True
1478943307.156515,1083,-289,False,True
1478943307.172089,1083,-288,False,True
1478943307.287728,1083,-289,False,True
1478943307.287728,1083,-290,False,True
1478943307.303353,1083,-292,False,True
1478943307.303353,1083,-293,False,True
1478943307.318978,1083,-295,False,True
1478943307.318978,1083,-298,False,True
1478943307.335667,1083,-300,False,True
1478943307.340681,1083,-303,False,True
1478943307.340681,1083,-305,False,True
1478943307.356651,1083,-309,False,True
1478943307.356651,1083,-312,False,True
1478943307.372276,1083,-314,False,True
1478943307.372276,1083,-317,False,True
1478943307.387901,1083,-319,False,True
1478943307.387901,1083,-322,False,True
1478943307.403526,1083,-324,False,True
1478943307.403526,1083,-326,False,True
1478943307.419152,1083,-328,False,True
1478943307.419152,1083,-330,False,True
1478943307.439857,1083,-332,False,True
1478943307.441297,1083,-334,False,True
1478943307.441297,1083,-335,False,True
1478943307.456925,1082,-339,False,True
1478943307.472608,1082,-340,False,True
1478943307.472608,1082,-342,False,True
1478943307.488174,1082,-343,False,True
1478943307.540681,1082,-344,False,True
1478943307.540681,1083,-345,False,True
1478943307.556401,1084,-346,False,True
1478943307.572022,1084,-347,False,True
1478943307.572022,1085,-348,False,True
1478943307.587651,1085,-348,False,False
1478943307.587651,1085,-348,False,False
1478943307.587651,1085,-348,False,False
1478943307.603299,1085,-348,False,False
1478943307.603299,1085,-348,False,False
1478943307.603299,1085,-348,False,False
1478943307.603299,1085,-348,False,False
1478943307.603299,1085,-348,False,False
1478943307.603299,1085,-348,False,False
1478943307.603299,1085,-348,False,False
1478943307.603299,1085,-348,False,False
1478943307.603299,1085,-348,False,False
1478943307.703655,1085,-348,False,False
1478943307.703655,1085,-348,False,False
1478943307.703655,1085,-348,False,False
1478943307.703655,1085,-348,False,False
1478943307.703655,1085,-348,False,False
1478943307.703655,1085,-348,False,False
1478943307.719281,1085,-348,False,False
1478943307.74063,1085,-347,False,False
1478943307.756379,1085,-344,False,False
1478943307.756379,1085,-342,False,False
1478943307.772002,1085,-339,False,False
1478943307.772002,1085,-337,False,False
1478943307.787602,1085,-336,False,False
1478943307.787602,1085,-334,False,False
1478943307.803227,1085,-333,False,False
1478943307.803227,1085,-332,False,False
1478943307.81888,1088,-331,False,False
1478943307.81888,1089,-330,False,False
1478943307.839531,1091,-329,False,False
1478943307.840475,1093,-328,False,False
1478943307.840475,1095,-327,False,False
1478943307.856454,1098,-326,False,False
1478943307.887753,1099,-325,False,False
1478943307.903379,1101,-323,False,False
1478943307.919005,1102,-323,False,False
1478943307.935696,1104,-322,False,False
1478943307.940764,1104,-322,False,False
1478943307.940764,1104,-322,False,False
1478943307.940764,1104,-322,False,False
1478943307.940764,1105,-321,False,False
1478943307.972159,1106,-320,False,False
1478943307.972159,1109,-318,False,False
1478943307.987729,1110,-317,False,False
1478943307.987729,1115,-315,False,False
1478943308.003353,1119,-313,False,False
1478943308.003353,1122,-312,False,False
1478943308.01898,1126,-310,False,False
1478943308.01898,1130,-308,False,False
1478943308.040865,1133,-307,False,False
1478943308.040865,1134,-306,False,False
